displayName;givenName;surname;city;country
Denise Vallée;Denise;Vallée;BORDEAUX;FR
Aubrette Berthelette;Aubrette;Berthelette;BEAUVAIS;FR
Camille Grandpré;Camille;Grandpré;LA PLAINE-SAINT-DENIS;FR
Iva Marseau;Iva;Marseau;MOLLENS;CH
Pascal Ricard;Pascal;Ricard;PARIS;FR
Arlette Bergeron;Arlette;Bergeron;BORDEAUX;FR
Alain Monrency;Alain;Monrency;RHEINSFELDEN;CH
Tabor Beauchamp;Tabor;Beauchamp;CROIX;FR
Lothair Panetier;Lothair;Panetier;CORSIER-SUR-VEVEY;CH
Wyatt Dufour;Wyatt;Dufour;SAINT-MARD;BE
Eglantine Francoeur;Eglantine;Francoeur;ROMAINVILLE;FR
Karel Moquin;Karel;Moquin;ACLENS;CH
Millard Faucher;Millard;Faucher;BASSE-TERRE;FR
Carole Tisserand;Carole;Tisserand;PÉRIGUEUX;FR
Daniel Robitaille;Daniel;Robitaille;ARMENTIÈRES;FR
Lowell LaGrande;Lowell;LaGrande;LA PLAINE-SAINT-DENIS;FR
Roland Lamour;Roland;Lamour;LE MOURET;CH
Melusina Plaisance;Melusina;Plaisance;WOHLEN BEI BERN;CH
Azura Benjamin;Azura;Benjamin;VULLIENS;CH
Florismart Mailly;Florismart;Mailly;MONT-DE-MARSAN;FR
Clementine Beaulé;Clementine;Beaulé;DOUAI;FR
Sébastien Sorel;Sébastien;Sorel;ERMONT;FR
Raymond Galarneau;Raymond;Galarneau;NOBRESSART;BE
Didier Francoeur;Didier;Francoeur;MARSEILLE;FR
Amedee Chrétien;Amedee;Chrétien;CLAVALEYRES;CH
Joy Méthot;Joy;Méthot;ROUBAIX;FR
Pinabel Paradis;Pinabel;Paradis;LE KREMLIN-BICÊTRE;FR
Eugène Brousse;Eugène;Brousse;CHÂTELLERAULT;FR
Arianne Marceau;Arianne;Marceau;POTTES;BE
Pomeroy Bernard;Pomeroy;Bernard;SÈVRES;FR
Jesper Leclair;Jesper;Leclair;OBERGÖSGEN;CH
Fanette Pinette;Fanette;Pinette;GRISSENBERG;CH
Clothilde Labrie;Clothilde;Labrie;FISCHINGEN;CH
Étienne Desruisseaux;Étienne;Desruisseaux;ROANNE;FR
Jeannine Jomphe;Jeannine;Jomphe;CAGNES-SUR-MER;FR
Fiacre Thibodeau;Fiacre;Thibodeau;MARSEILLE;FR
Demi Arsenault;Demi;Arsenault;CHÉNENS;CH
Fantina Marier;Fantina;Marier;MONTREUIL;FR
Morgana Joly;Morgana;Joly;VERSAILLES;FR
Fleur Fortier;Fleur;Fortier;MÂCON;FR
Medoro Pinneau;Medoro;Pinneau;SAGOGN;CH
Benjamin Caisse;Benjamin;Caisse;WIELSBEKE;BE
Mignonette Chassé;Mignonette;Chassé;MATTWIL;CH
Halette Laberge;Halette;Laberge;MONTBÉLIARD;FR
Eugenia Boutot;Eugenia;Boutot;CHEXBRES;CH
Millicent Brousseau;Millicent;Brousseau;SURESNES;FR
